time;Job;Res;C;solution
10;ИЗД_0_Общий входной поток(8ca942ba-3ec1-11ef-a242-30f6ef8c05a9);Основной исполитель(RS_1);0;1
11;ИЗД_0_Процесс (1)(8ca942bc-3ec1-11ef-8992-30f6ef8c05a9);Исполнитель первого интервала(RS_2);0;1
11;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
12;ИЗД_0_Процесс (1)(8ca942bc-3ec1-11ef-8992-30f6ef8c05a9);Исполнитель первого интервала(RS_2);0;1
12;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
13;ИЗД_0_Процесс (1)(8ca942bc-3ec1-11ef-8992-30f6ef8c05a9);Исполнитель первого интервала(RS_2);0;1
13;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
14;ИЗД_0_Процесс (1)(8ca942bc-3ec1-11ef-8992-30f6ef8c05a9);Исполнитель первого интервала(RS_2);0;1
14;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
15;ИЗД_0_Процесс (1)(8ca942bc-3ec1-11ef-8992-30f6ef8c05a9);Исполнитель первого интервала(RS_2);0;1
15;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
16;ИЗД_0_Процесс (1)(8ca942bc-3ec1-11ef-8992-30f6ef8c05a9);Исполнитель первого интервала(RS_2);0;1
16;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
17;ИЗД_0_Процесс (1)(8ca942bc-3ec1-11ef-8992-30f6ef8c05a9);Исполнитель первого интервала(RS_2);0;1
17;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
18;ИЗД_0_Процесс (1)(8ca942bc-3ec1-11ef-8992-30f6ef8c05a9);Исполнитель первого интервала(RS_2);0;1
18;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
19;ИЗД_0_Процесс (1)(8ca942bc-3ec1-11ef-8992-30f6ef8c05a9);Исполнитель первого интервала(RS_2);0;1
19;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
20;ИЗД_0_Процесс (1)(8ca942bc-3ec1-11ef-8992-30f6ef8c05a9);Исполнитель первого интервала(RS_2);0;1
20;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
21;ИЗД_0_Процесс (1)(8ca942bc-3ec1-11ef-8992-30f6ef8c05a9);Исполнитель первого интервала(RS_2);0;1
21;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
22;ИЗД_0_Процесс (1)(8ca942bc-3ec1-11ef-8992-30f6ef8c05a9);Исполнитель первого интервала(RS_2);0;1
22;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
23;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
24;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
25;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
26;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
27;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
28;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
29;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
30;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
31;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
32;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
33;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
34;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
35;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
36;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
37;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
38;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
39;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
40;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
41;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
42;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
43;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
44;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
45;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
46;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
47;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
48;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
49;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
50;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
51;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
52;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
53;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
54;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
55;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
56;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
57;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
58;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
59;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
60;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
61;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
62;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
63;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
64;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
65;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
66;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
67;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
68;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
69;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
70;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
71;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
72;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
73;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
74;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
75;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
76;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
77;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
78;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
79;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
80;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
81;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
82;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
83;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
84;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
85;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
86;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
87;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
88;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
89;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
90;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
91;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
92;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
93;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
94;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
95;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
96;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
97;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
98;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
99;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
100;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
101;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
102;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
103;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
104;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
105;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
106;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
107;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
108;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
109;ИЗД_0_Поток третьего интервала(8ca942bb-3ec1-11ef-a98f-30f6ef8c05a9);Исполнитель третьего интервала(RS_4);0;1
